"nsub" "bloque" "altura" "condicion" "trial" "distancia" "respuesta" "condicion_posicion" "condicion_sonido"
3 2 0 2 1 2 1 "PISO" "ROVED"
3 2 0 2 3 4.2 3 "PISO" "ROVED"
3 2 0 2 4 6 2 "PISO" "ROVED"
3 2 0 2 2 2.9 3 "PISO" "ROVED"
3 2 0 2 3 4.2 5 "PISO" "ROVED"
3 2 0 2 4 6 15 "PISO" "ROVED"
3 2 0 2 3 4.2 12 "PISO" "ROVED"
3 2 0 2 1 2 4 "PISO" "ROVED"
3 2 0 2 3 4.2 6 "PISO" "ROVED"
3 2 0 2 2 2.9 7 "PISO" "ROVED"
3 2 0 2 4 6 3 "PISO" "ROVED"
3 2 0 2 2 2.9 4 "PISO" "ROVED"
3 2 0 2 2 2.9 8 "PISO" "ROVED"
3 2 0 2 3 4.2 2 "PISO" "ROVED"
3 2 0 2 1 2 3 "PISO" "ROVED"
3 2 0 2 1 2 4 "PISO" "ROVED"
3 2 0 2 4 6 13 "PISO" "ROVED"
3 2 0 2 1 2 7 "PISO" "ROVED"
4 3 1 0 3 4.2 3 "CABEZA" "NORMAL"
4 3 1 0 4 6 3 "CABEZA" "NORMAL"
4 3 1 0 2 2.9 3 "CABEZA" "NORMAL"
4 3 1 0 1 2 3 "CABEZA" "NORMAL"
4 3 1 0 4 6 2.5 "CABEZA" "NORMAL"
4 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
4 3 1 0 1 2 2 "CABEZA" "NORMAL"
4 3 1 0 1 2 2 "CABEZA" "NORMAL"
4 3 1 0 4 6 2.5 "CABEZA" "NORMAL"
4 3 1 0 3 4.2 3 "CABEZA" "NORMAL"
4 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
4 3 1 0 3 4.2 2 "CABEZA" "NORMAL"
4 3 1 0 3 4.2 3 "CABEZA" "NORMAL"
4 3 1 0 2 2.9 2.5 "CABEZA" "NORMAL"
4 3 1 0 3 4.2 2.5 "CABEZA" "NORMAL"
4 3 1 0 2 2.9 3 "CABEZA" "NORMAL"
4 3 1 0 1 2 3 "CABEZA" "NORMAL"
4 3 1 0 1 2 3.5 "CABEZA" "NORMAL"
4 3 1 0 4 6 3.5 "CABEZA" "NORMAL"
4 3 1 0 4 6 3.5 "CABEZA" "NORMAL"
4 5 1 2 1 2 2 "CABEZA" "ROVED"
4 5 1 2 2 2.9 1.5 "CABEZA" "ROVED"
4 5 1 2 1 2 2 "CABEZA" "ROVED"
4 5 1 2 1 2 2.5 "CABEZA" "ROVED"
4 5 1 2 3 4.2 3 "CABEZA" "ROVED"
4 5 1 2 3 4.2 2 "CABEZA" "ROVED"
4 5 1 2 1 2 3 "CABEZA" "ROVED"
4 5 1 2 4 6 3 "CABEZA" "ROVED"
4 5 1 2 3 4.2 2.5 "CABEZA" "ROVED"
4 5 1 2 2 2.9 3 "CABEZA" "ROVED"
4 5 1 2 2 2.9 3 "CABEZA" "ROVED"
4 5 1 2 4 6 3 "CABEZA" "ROVED"
4 5 1 2 4 6 2.5 "CABEZA" "ROVED"
4 5 1 2 2 2.9 2.5 "CABEZA" "ROVED"
4 5 1 2 4 6 3.2 "CABEZA" "ROVED"
4 5 1 2 4 6 3 "CABEZA" "ROVED"
4 5 1 2 3 4.2 3.2 "CABEZA" "ROVED"
4 5 1 2 1 2 3 "CABEZA" "ROVED"
4 5 1 2 1 2 3.5 "CABEZA" "ROVED"
4 5 1 2 2 2.9 2.8 "CABEZA" "ROVED"
4 0 0 0 4 6 2.5 "PISO" "NORMAL"
4 0 0 0 1 2 0.6 "PISO" "NORMAL"
4 0 0 0 4 6 2 "PISO" "NORMAL"
4 0 0 0 2 2.9 1.5 "PISO" "NORMAL"
4 0 0 0 1 2 0.7 "PISO" "NORMAL"
4 0 0 0 3 4.2 2 "PISO" "NORMAL"
4 0 0 0 3 4.2 2.5 "PISO" "NORMAL"
4 0 0 0 2 2.9 1.5 "PISO" "NORMAL"
4 0 0 0 4 6 3 "PISO" "NORMAL"
4 0 0 0 2 2.9 1.8 "PISO" "NORMAL"
4 0 0 0 2 2.9 1.5 "PISO" "NORMAL"
4 0 0 0 1 2 1.2 "PISO" "NORMAL"
4 0 0 0 3 4.2 2 "PISO" "NORMAL"
4 0 0 0 4 6 3 "PISO" "NORMAL"
4 0 0 0 4 6 3 "PISO" "NORMAL"
4 0 0 0 4 6 3 "PISO" "NORMAL"
4 0 0 0 1 2 1.5 "PISO" "NORMAL"
4 0 0 0 1 2 1.2 "PISO" "NORMAL"
4 0 0 0 2 2.9 1.5 "PISO" "NORMAL"
4 0 0 0 3 4.2 2.5 "PISO" "NORMAL"
4 2 0 2 2 2.9 1 "PISO" "ROVED"
4 2 0 2 4 6 2.5 "PISO" "ROVED"
4 2 0 2 2 2.9 1.5 "PISO" "ROVED"
4 2 0 2 3 4.2 2.5 "PISO" "ROVED"
4 2 0 2 2 2.9 2.5 "PISO" "ROVED"
4 2 0 2 2 2.9 1.5 "PISO" "ROVED"
4 2 0 2 3 4.2 2.5 "PISO" "ROVED"
4 2 0 2 3 4.2 2.5 "PISO" "ROVED"
4 2 0 2 1 2 1 "PISO" "ROVED"
4 2 0 2 4 6 3 "PISO" "ROVED"
4 2 0 2 3 4.2 2 "PISO" "ROVED"
4 2 0 2 1 2 1 "PISO" "ROVED"
4 2 0 2 4 6 2 "PISO" "ROVED"
4 2 0 2 1 2 1 "PISO" "ROVED"
4 2 0 2 4 6 3 "PISO" "ROVED"
4 2 0 2 1 2 1 "PISO" "ROVED"
4 2 0 2 4 6 3 "PISO" "ROVED"
4 2 0 2 2 2.9 2 "PISO" "ROVED"
4 2 0 2 2 2.9 2 "PISO" "ROVED"
4 2 0 2 1 2 1 "PISO" "ROVED"
5 3 1 0 4 6 3.3 "CABEZA" "NORMAL"
5 3 1 0 3 4.2 2.5 "CABEZA" "NORMAL"
5 3 1 0 2 2.9 1.5 "CABEZA" "NORMAL"
5 3 1 0 3 4.2 3 "CABEZA" "NORMAL"
5 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
5 3 1 0 1 2 1.5 "CABEZA" "NORMAL"
5 3 1 0 3 4.2 3.5 "CABEZA" "NORMAL"
5 3 1 0 4 6 3 "CABEZA" "NORMAL"
5 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
5 3 1 0 1 2 1.5 "CABEZA" "NORMAL"
5 3 1 0 1 2 2 "CABEZA" "NORMAL"
5 3 1 0 1 2 2 "CABEZA" "NORMAL"
5 3 1 0 3 4.2 2.5 "CABEZA" "NORMAL"
5 3 1 0 4 6 3 "CABEZA" "NORMAL"
5 3 1 0 4 6 3 "CABEZA" "NORMAL"
5 3 1 0 3 4.2 2.5 "CABEZA" "NORMAL"
5 3 1 0 4 6 3 "CABEZA" "NORMAL"
5 3 1 0 1 2 2 "CABEZA" "NORMAL"
5 3 1 0 2 2.9 2 "CABEZA" "NORMAL"
5 3 1 0 2 2.9 2.5 "CABEZA" "NORMAL"
5 5 1 2 2 2.9 2 "CABEZA" "ROVED"
5 5 1 2 2 2.9 2 "CABEZA" "ROVED"
5 5 1 2 2 2.9 2.5 "CABEZA" "ROVED"
5 5 1 2 1 2 1.5 "CABEZA" "ROVED"
5 5 1 2 1 2 2 "CABEZA" "ROVED"
5 5 1 2 1 2 2 "CABEZA" "ROVED"
5 5 1 2 3 4.2 2.5 "CABEZA" "ROVED"
5 5 1 2 2 2.9 2 "CABEZA" "ROVED"
5 5 1 2 3 4.2 3 "CABEZA" "ROVED"
5 5 1 2 3 4.2 2 "CABEZA" "ROVED"
