subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
T012,2,Floor level,2.9,ROVED,sitting,0.408248290463863,0.16666666666666669,0.16666666666666666,6,1.1666666666666667,0.1407752725737459,0.057471264367816105,0.01981767736821245,6,-0.5977011494252873,0.1407752725737459,0.057471264367816105,0.01981767736821245,6,0.5977011494252873,0.408248290463863,0.16666666666666669,0.16666666666666666,6
T013,2,Floor level,2.9,ROVED,sitting,0.4393176527297759,0.196468827043885,0.193,5,0.76,0.15148884576888827,0.0677478713944431,0.02294887039239002,5,-0.7379310344827585,0.15148884576888827,0.0677478713944431,0.02294887039239002,5,0.7379310344827585,0.4393176527297759,0.196468827043885,0.193,5
T001,5,Ear level,4.2,ROVED,sitting,0.6708203932499369,0.3,0.45,5,1.3,0.15971914124998496,0.07142857142857141,0.025510204081632643,5,-0.6904761904761905,0.15971914124998496,0.07142857142857141,0.025510204081632643,5,0.6904761904761905,0.6708203932499369,0.3,0.45,5
T002,5,Ear level,4.2,ROVED,sitting,0.5431390245600107,0.2217355782608345,0.295,6,1.55,0.12931881537143114,0.0527941853001987,0.01672335600907029,6,-0.6309523809523809,0.12931881537143114,0.0527941853001987,0.01672335600907029,6,0.6309523809523809,0.5431390245600108,0.22173557826083456,0.29500000000000004,6
T003,5,Ear level,4.2,ROVED,sitting,0.5477225575051661,0.24494897427831777,0.3,5,4.1,0.13041013273932528,0.058321184351980436,0.017006802721088437,5,-0.02380952380952385,0.0722178613719195,0.032296809443453645,0.0052154195011337836,5,0.10000000000000002,0.5477225575051661,0.24494897427831777,0.3,5
T004,5,Ear level,4.2,ROVED,sitting,1.2355835328567093,0.6177917664283546,1.5266666666666666,4,2.8,0.2941865554420736,0.1470932777210368,0.08654572940287225,4,-0.33333333333333337,0.2941865554420736,0.1470932777210368,0.08654572940287225,4,0.33333333333333337,1.235583532856709,0.6177917664283545,1.5266666666666664,4
T007,5,Ear level,4.2,ROVED,sitting,0,0,0,5,2,0,0,0,5,-0.5238095238095238,0,0,0,5,0.5238095238095238,0,0,0,5
T008,5,Ear level,4.2,ROVED,sitting,0,0,0,4,2,0,0,0,4,-0.5238095238095238,0,0,0,4,0.5238095238095238,0,0,0,4
T009,5,Ear level,4.2,ROVED,sitting,0.8366600265340756,0.3741657386773941,0.7,5,1.8,0.1992047682223989,0.08908708063747478,0.039682539682539666,5,-0.5714285714285714,0.1992047682223989,0.08908708063747478,0.039682539682539666,5,0.5714285714285714,0.8366600265340756,0.3741657386773941,0.7,5
T010,5,Ear level,4.2,ROVED,sitting,0.31885210782848317,0.1301708279317776,0.10166666666666666,6,2.216666666666667,0.07591716853059126,0.030993054269470865,0.005763416477702196,6,-0.47222222222222227,0.07591716853059126,0.030993054269470865,0.005763416477702196,6,0.47222222222222227,0.3188521078284832,0.1301708279317776,0.1016666666666667,6
