subject,block,condition,target_distance,type,location,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_mean,log_bias_sd_un,log_bias_sem_un,log_bias_var_un,log_bias_n_un,log_bias_un_mean,antilog_bias_sd,antilog_bias_sem,antilog_bias_var,antilog_bias_n,antilog_bias_mean,absantilog_bias_sd,absantilog_bias_sem,absantilog_bias_var,absantilog_bias_n,absantilog_bias_mean,antilog_bias_sd_un,antilog_bias_sem_un,antilog_bias_var_un,antilog_bias_n_un,antilog_bias_un_mean,antilog_bias_sd_un_p,antilog_bias_sem_un_p,antilog_bias_var_un_p,antilog_bias_n_un_p,antilog_bias_un_p_mean,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,abs_bias_mean
S007,2,Floor level,2.9,ROVED,standing,0.25,0.125,0.0625,4,2.125,0.08620689655172413,0.043103448275862065,0.007431629013079665,4,-0.2672413793103448,0.08620689655172413,0.043103448275862065,0.007431629013079665,4,0.2672413793103448,0.0484550065040282,0.0242275032520141,0.0023478876553054153,4,-0.13714049898296077,0.0484550065040282,0.0242275032520141,0.0023478876553054153,4,0.13714049898296077,0.08620689655172414,0.04310344827586207,0.007431629013079668,4,-0.26724137931034475,0.08620689655172414,0.04310344827586207,0.007431629013079668,4,0.26724137931034475,0.14500000000000002,0.07250000000000001,0.021025000000000005,4,1.3775,0.14500000000000002,0.07250000000000001,0.021025000000000005,4,0.37749999999999995,0.25,0.125,0.0625,4,-0.7749999999999999
S008,2,Floor level,2.9,ROVED,standing,1.4719601443879744,0.6009252125773316,2.1666666666666665,6,3.8333333333333335,0.5075724635820602,0.20721559054390748,0.2576298057867618,6,0.32183908045977017,0.40605797086564815,0.16577247243512597,0.16488307570352756,6,0.4252873563218391,0.17283873439260225,0.07056111784171756,0.029873228106436504,6,0.09334429395953242,0.11979587373821245,0.048906460658250016,0.01435105136470174,6,0.14713362803785737,0.5075724635820602,0.20721559054390748,0.2576298057867618,6,0.3218390804597702,0.40605797086564815,0.16577247243512597,0.1648830757035276,6,0.42528735632183917,0.402135229452168,0.1641710199591409,0.1617127427665478,6,1.4485632183908046,0.402135229452168,0.1641710199591409,0.1617127427665478,6,0.44856321839080465,1.4719601443879744,0.6009252125773316,2.1666666666666665,6,0.9333333333333335
S009,2,Floor level,2.9,ROVED,standing,0.15165750888103097,0.06782329983125265,0.02299999999999999,5,2.06,0.05229569271759689,0.02338734476939747,0.0027348394768133165,5,-0.28965517241379307,0.05229569271759689,0.02338734476939747,0.0027348394768133165,5,0.28965517241379307,0.03130001518754236,0.013997792331224107,9.796909507403823e-4,5,-0.14944585329249538,0.03130001518754236,0.013997792331224107,9.796909507403823e-4,5,0.14944585329249538,0.05229569271759687,0.02338734476939746,0.002734839476813314,5,-0.2896551724137931,0.05229569271759687,0.02338734476939746,0.002734839476813314,5,0.2896551724137931,0.0996835218840325,0.04457982623385691,0.009936804535204386,5,1.4136275471286912,0.0996835218840325,0.04457982623385691,0.009936804535204386,5,0.4136275471286913,0.15165750888103097,0.06782329983125265,0.02299999999999999,5,-0.84
S010,2,Floor level,2.9,ROVED,standing,0.5477225575051661,0.24494897427831777,0.3,5,2.6,0.18886984741557453,0.08446516354424752,0.0356718192627824,5,-0.10344827586206894,0.0755479389662298,0.033786065417699004,0.0057074910820451834,5,0.18620689655172412,0.08697768489861286,0.03889760319177105,0.007565117670322388,5,-0.054614384692882136,0.0420803878080078,0.018818921531651763,0.0017707590380723318,5,0.08728240327340994,0.18886984741557447,0.08446516354424749,0.03567181926278239,5,-0.10344827586206892,0.07554793896622981,0.03378606541769901,0.005707491082045185,5,0.1862068965517241,0.1260946363360589,0.056391235689108546,0.01589985731272295,5,1.2273793103448276,0.1260946363360589,0.056391235689108546,0.01589985731272295,5,0.22737931034482753,0.5477225575051661,0.24494897427831777,0.3,5,-0.29999999999999993
S011,2,Floor level,2.9,ROVED,standing,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,2.25,0.09954314986028029,0.049771574930140144,0.009908838684106221,4,-0.2241379310344827,0.09954314986028029,0.049771574930140144,0.009908838684106221,4,0.2241379310344827,0.055951022097371496,0.027975511048685748,0.0031305168737405537,4,-0.11291299573094665,0.055951022097371496,0.027975511048685748,0.0031305168737405537,4,0.11291299573094665,0.09954314986028032,0.04977157493014016,0.009908838684106224,4,-0.2241379310344827,0.09954314986028032,0.04977157493014016,0.009908838684106224,4,0.2241379310344827,0.16743157806499148,0.08371578903249574,0.02803333333333334,4,1.305,0.16743157806499148,0.08371578903249574,0.02803333333333334,4,0.30499999999999994,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,-0.6499999999999999
S012,2,Floor level,2.9,ROVED,standing,2.3664319132398464,0.966091783079296,5.6,6,4,0.8160110045654643,0.3331350976135503,0.6658739595719381,6,0.3793103448275862,0.6528088036523714,0.26650807809084026,0.4261593341260404,6,0.5862068965517241,0.24830762719247873,0.10137116431046768,0.061656677721959,6,0.07868509890034409,0.1656902603256835,0.06764276552447272,0.02745326236679277,6,0.186263767056994,0.8160110045654643,0.3331350976135503,0.6658739595719381,6,0.37931034482758624,0.6528088036523714,0.26650807809084026,0.42615933412604035,6,0.5862068965517241,0.6328821640175287,0.25837306152522627,0.40053983353151007,6,1.6327586206896552,0.6328821640175287,0.25837306152522627,0.40053983353151007,6,0.6327586206896552,2.3664319132398464,0.966091783079296,5.599999999999999,6,1.0999999999999999
S013,2,Floor level,2.9,ROVED,standing,0.7071067811865476,0.31622776601683794,0.5,5,2,0.24382992454708535,0.1090440572471855,0.059453032104637336,5,-0.31034482758620685,0.2202581989333974,0.09850246108334965,0.04851367419738406,5,0.32413793103448274,0.17212295911950268,0.07697572741592507,0.02962631305605399,5,-0.18635574955663486,0.16382672137668727,0.07326553710583814,0.02683919463703472,5,0.1922450522849174,0.24382992454708538,0.10904405724718551,0.05945303210463734,5,-0.31034482758620685,0.22025819893339738,0.09850246108334963,0.04851367419738405,5,0.32413793103448274,0.7178307011940172,0.32102364884123236,0.5152809155766943,5,1.6568965517241379,0.7178307011940172,0.32102364884123236,0.5152809155766943,5,0.6568965517241379,0.7071067811865476,0.31622776601683794,0.5,5,-0.8999999999999999
S014,2,Floor level,2.9,ROVED,standing,0.9746794344808963,0.43588989435406733,0.95,5,1.7,0.3360963567175505,0.15030686012209218,0.11296076099881094,5,-0.41379310344827586,0.3137741563055814,0.14032406861638486,0.09845422116527942,5,0.4275862068965517,0.30757031426931836,0.13754962611343388,0.09459949821972725,5,-0.3067677478222273,0.3000658644796992,0.13419353414076937,0.09003952302594921,5,0.31265705055050985,0.3360963567175505,0.15030686012209218,0.11296076099881096,5,-0.4137931034482758,0.31377415630558136,0.14032406861638483,0.09845422116527941,5,0.4275862068965517,1.9620858583601006,0.8774714713968418,3.8497809155766927,5,2.5268965517241377,1.9620858583601006,0.8774714713968418,3.8497809155766927,5,1.5268965517241377,0.9746794344808963,0.43588989435406733,0.95,5,-1.2
S015,2,Floor level,2.9,ROVED,standing,0.8229773184399838,0.4114886592199919,0.6772916666666665,4,2.8125,0.2837852822206841,0.14189264111034205,0.08053408640507333,4,-0.03017241379310342,0.13158911657304953,0.06579455828652477,0.01731569560047562,4,0.21982758620689655,0.12277006983258035,0.061385034916290174,0.015072490046696654,4,-0.026636247277962755,0.05591465155999507,0.027957325779997533,0.003126448259075659,4,0.09833118025208751,0.2837852822206841,0.14189264111034205,0.08053408640507331,4,-0.030172413793103398,0.13158911657304953,0.06579455828652477,0.017315695600475616,4,0.21982758620689655,0.15200976287300846,0.07600488143650423,0.02310696800870826,4,1.2615823430779325,0.15200976287300846,0.07600488143650423,0.02310696800870826,4,0.2615823430779325,0.8229773184399838,0.4114886592199919,0.6772916666666665,4,-0.08749999999999991
S016,2,Floor level,2.9,ROVED,standing,0.45734742446707477,0.22867371223353739,0.20916666666666667,4,1.525,0.15770600843692234,0.07885300421846117,0.024871185097106622,4,-0.47413793103448276,0.15770600843692234,0.07885300421846117,0.024871185097106622,4,0.47413793103448276,0.13718457371406456,0.06859228685703228,0.01881960726510961,4,-0.2948365346304251,0.13718457371406456,0.06859228685703228,0.01881960726510961,4,0.2948365346304251,0.15770600843692234,0.07885300421846117,0.024871185097106622,4,-0.47413793103448276,0.15770600843692234,0.07885300421846117,0.024871185097106622,4,0.47413793103448276,0.6602485616218152,0.3301242808109076,0.4359281631236759,4,2.0479700854700855,0.6602485616218152,0.3301242808109076,0.4359281631236759,4,1.0479700854700855,0.45734742446707477,0.22867371223353739,0.20916666666666667,4,-1.375
