subject,block,condition,target_distance,type,location,log_bias,log_bias_un,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,rel_bias_unsigned_sd,rel_bias_unsigned_sem,rel_bias_unsigned_var,rel_bias_unsigned_n,rel_bias_unsigned,log_bias_sd,log_bias_sem,log_bias_var,log_bias_n,log_bias_sd_un,log_bias_sem_un,log_bias_var_un,log_bias_n_un,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n,slope,intercepto
S002,3,Ear level,4.2,NORMAL,standing,-0.5451470507276169,0.5451470507276169,0.3577708763999664,0.16000000000000003,0.12800000000000003,5,1.24,0.08518354199999198,0.03809523809523809,0.007256235827664397,5,-0.7047619047619048,0.08518354199999198,0.03809523809523809,0.007256235827664397,5,0.7047619047619048,0.13085426605408604,0.05851980680855591,0.01712283894455353,5,0.13085426605408604,0.05851980680855591,0.01712283894455353,5,0.3577708763999664,0.16000000000000003,0.12800000000000006,5,0.045924288477480084,1.121635810997512
S002,3,Ear level,6,NORMAL,standing,-0.6054771600979265,0.6054771600979265,0.21213203435596428,0.09486832980505139,0.045000000000000005,5,1.5,0.03535533905932734,0.015811388300841882,0.0012499999999999976,5,-0.75,0.03535533905932734,0.015811388300841882,0.0012499999999999976,5,0.75,0.06066633845640302,0.02713081134690536,0.0036804046217068435,5,0.06066633845640302,0.02713081134690536,0.0036804046217068435,5,0.21213203435596423,0.09486832980505136,0.04499999999999999,5,0.045924288477480084,1.121635810997512
S002,5,Ear level,2,ROVED,standing,-0.28342816522895126,0.28342816522895126,0.5188127472091126,0.2594063736045563,0.2691666666666666,4,1.175,0.2594063736045563,0.12970318680227816,0.06729166666666667,4,-0.41250000000000003,0.2594063736045563,0.12970318680227816,0.06729166666666667,4,0.41250000000000003,0.2773877490093503,0.13869387450467516,0.07694396330047433,4,0.2773877490093503,0.13869387450467516,0.07694396330047433,4,0.5188127472091126,0.2594063736045563,0.26916666666666667,4,0.02952473058856049,1.1097941420281838
S002,5,Ear level,2.9,ROVED,standing,-0.4465617486894311,0.4465617486894311,0.4438468204234429,0.19849433241279207,0.197,5,1.12,0.15305062773222172,0.06844632152165245,0.023424494649227114,5,-0.6137931034482759,0.15305062773222172,0.06844632152165245,0.023424494649227114,5,0.6137931034482759,0.20126985813802056,0.09001061692367064,0.04050955579489892,5,0.20126985813802056,0.09001061692367064,0.04050955579489892,5,0.4438468204234429,0.19849433241279207,0.197,5,0.02952473058856049,1.1097941420281838
S002,5,Ear level,4.2,ROVED,standing,-0.5370925800301815,0.5370925800301815,0.5167204273105526,0.2109502310972899,0.267,6,1.35,0.12302867316917916,0.05022624549935473,0.015136054421768705,6,-0.6785714285714286,0.12302867316917916,0.05022624549935473,0.015136054421768705,6,0.6785714285714286,0.24528271761642648,0.10013625014723658,0.06016361156129961,6,0.24528271761642648,0.10013625014723658,0.06016361156129961,6,0.5167204273105526,0.2109502310972899,0.267,6,0.02952473058856049,1.1097941420281838
S002,5,Ear level,6,ROVED,standing,-0.6965032573212737,0.6965032573212737,0.32863353450309973,0.1469693845669907,0.10800000000000003,5,1.24,0.0547722557505166,0.024494897427831775,0.0029999999999999988,5,-0.7933333333333333,0.0547722557505166,0.024494897427831775,0.0029999999999999988,5,0.7933333333333333,0.11180111893821328,0.04999898038127679,0.012499490195836512,5,0.11180111893821328,0.04999898038127679,0.012499490195836512,5,0.32863353450309946,0.14696938456699057,0.10799999999999987,5,0.02952473058856049,1.1097941420281838
S004,0,Floor level,2,NORMAL,standing,-0.30948938735421494,0.30948938735421494,0.3781534080237808,0.16911534525287764,0.14300000000000002,5,1.04,0.18907670401189036,0.0845576726264388,0.03575,5,-0.48,0.18907670401189036,0.0845576726264388,0.03575,5,0.48,0.17058806328554005,0.07628930113130072,0.029100287335511413,5,0.17058806328554005,0.07628930113130072,0.029100287335511413,5,0.3781534080237807,0.1691153452528776,0.143,5,0.4270793036750486,0.2877756286266915
S004,0,Floor level,2.9,NORMAL,standing,-0.27047048963374987,0.27047048963374987,0.1341640786499874,0.06,0.018000000000000006,5,1.56,0.04626347539654737,0.02068965517241379,0.0021403091557669436,5,-0.46206896551724136,0.04626347539654737,0.02068965517241379,0.0021403091557669436,5,0.46206896551724136,0.035410929741125134,0.015836249209524967,0.0012539339451309007,5,0.035410929741125134,0.015836249209524967,0.0012539339451309007,5,0.1341640786499874,0.06,0.018000000000000006,5,0.4270793036750486,0.2877756286266915
S004,0,Floor level,4.2,NORMAL,standing,-0.2737642882298911,0.2737642882298911,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,2.25,0.06873217490352689,0.03436608745176344,0.004724111866969012,4,-0.4642857142857143,0.06873217490352689,0.03436608745176344,0.004724111866969012,4,0.4642857142857143,0.05595102209737152,0.02797551104868576,0.003130516873740556,4,0.05595102209737152,0.02797551104868576,0.003130516873740556,4,0.28867513459481287,0.14433756729740643,0.08333333333333333,4,0.4270793036750486,0.2877756286266915
S004,0,Floor level,6,NORMAL,standing,-0.3435754131811989,0.3435754131811989,0.4183300132670378,0.17078251276599332,0.175,6,2.75,0.06972166887783962,0.02846375212766555,0.0048611111111111095,6,-0.5416666666666666,0.06972166887783962,0.02846375212766555,0.0048611111111111095,6,0.5416666666666666,0.07268717346435107,0.029674414305471592,0.005283425186236661,6,0.07268717346435107,0.029674414305471592,0.005283425186236661,6,0.4183300132670378,0.17078251276599332,0.175,6,0.4270793036750486,0.2877756286266915
