subject;block;trial;target_distance;percived_distance;condition;type
4;0;1;2;0.6;Floor level;NORMAL
4;0;4;6;2;Floor level;NORMAL
4;0;2;2.9;1.5;Floor level;NORMAL
4;0;1;2;0.7;Floor level;NORMAL
4;0;3;4.2;2;Floor level;NORMAL
4;0;3;4.2;2.5;Floor level;NORMAL
4;0;2;2.9;1.5;Floor level;NORMAL
4;0;4;6;3;Floor level;NORMAL
4;0;2;2.9;1.8;Floor level;NORMAL
4;0;2;2.9;1.5;Floor level;NORMAL
4;0;1;2;1.2;Floor level;NORMAL
4;0;3;4.2;2;Floor level;NORMAL
4;0;4;6;3;Floor level;NORMAL
4;0;4;6;3;Floor level;NORMAL
4;0;4;6;3;Floor level;NORMAL
4;0;1;2;1.5;Floor level;NORMAL
4;0;1;2;1.2;Floor level;NORMAL
4;0;2;2.9;1.5;Floor level;NORMAL
4;0;3;4.2;2.5;Floor level;NORMAL
4;2;2;2.9;1;Floor level;ROVED
4;2;4;6;2.5;Floor level;ROVED
4;2;2;2.9;1.5;Floor level;ROVED
4;2;3;4.2;2.5;Floor level;ROVED
4;2;2;2.9;2.5;Floor level;ROVED
4;2;2;2.9;1.5;Floor level;ROVED
4;2;3;4.2;2.5;Floor level;ROVED
4;2;3;4.2;2.5;Floor level;ROVED
4;2;1;2;1;Floor level;ROVED
4;2;4;6;3;Floor level;ROVED
4;2;3;4.2;2;Floor level;ROVED
4;2;1;2;1;Floor level;ROVED
4;2;4;6;2;Floor level;ROVED
4;2;1;2;1;Floor level;ROVED
4;2;4;6;3;Floor level;ROVED
4;2;1;2;1;Floor level;ROVED
4;2;4;6;3;Floor level;ROVED
4;2;2;2.9;2;Floor level;ROVED
4;2;2;2.9;2;Floor level;ROVED
4;2;1;2;1;Floor level;ROVED
5;3;4;6;3.3;Ear level;NORMAL
5;3;3;4.2;2.5;Ear level;NORMAL
5;3;2;2.9;1.5;Ear level;NORMAL
5;3;3;4.2;3;Ear level;NORMAL
5;3;2;2.9;2;Ear level;NORMAL
5;3;1;2;1.5;Ear level;NORMAL
5;3;3;4.2;3.5;Ear level;NORMAL
5;3;4;6;3;Ear level;NORMAL
5;3;2;2.9;2;Ear level;NORMAL
5;3;1;2;1.5;Ear level;NORMAL
5;3;1;2;2;Ear level;NORMAL
5;3;1;2;2;Ear level;NORMAL
5;3;3;4.2;2.5;Ear level;NORMAL
5;3;4;6;3;Ear level;NORMAL
5;3;4;6;3;Ear level;NORMAL
5;3;3;4.2;2.5;Ear level;NORMAL
5;3;4;6;3;Ear level;NORMAL
5;3;1;2;2;Ear level;NORMAL
5;3;2;2.9;2;Ear level;NORMAL
5;3;2;2.9;2.5;Ear level;NORMAL
5;5;2;2.9;2;Ear level;ROVED
5;5;2;2.9;2;Ear level;ROVED
5;5;2;2.9;2.5;Ear level;ROVED
5;5;1;2;1.5;Ear level;ROVED
5;5;1;2;2;Ear level;ROVED
5;5;1;2;2;Ear level;ROVED
5;5;3;4.2;2.5;Ear level;ROVED
5;5;2;2.9;2;Ear level;ROVED
5;5;3;4.2;3;Ear level;ROVED
5;5;3;4.2;2;Ear level;ROVED
5;5;4;6;3;Ear level;ROVED
5;5;1;2;2;Ear level;ROVED
5;5;4;6;2.5;Ear level;ROVED
5;5;2;2.9;2;Ear level;ROVED
5;5;3;4.2;2;Ear level;ROVED
5;5;2;2.9;2;Ear level;ROVED
5;5;3;4.2;3;Ear level;ROVED
5;5;1;2;1.5;Ear level;ROVED
5;5;4;6;3;Ear level;ROVED
5;5;4;6;3;Ear level;ROVED
5;0;1;2;0.5;Floor level;NORMAL
5;0;4;6;2;Floor level;NORMAL
5;0;2;2.9;1.5;Floor level;NORMAL
5;0;1;2;1;Floor level;NORMAL
5;0;3;4.2;2.5;Floor level;NORMAL
5;0;3;4.2;3;Floor level;NORMAL
5;0;4;6;2;Floor level;NORMAL
5;0;4;6;2;Floor level;NORMAL
5;0;1;2;1;Floor level;NORMAL
5;0;1;2;1.5;Floor level;NORMAL
5;0;1;2;2;Floor level;NORMAL
5;0;3;4.2;2;Floor level;NORMAL
5;0;2;2.9;2.5;Floor level;NORMAL
5;0;3;4.2;3;Floor level;NORMAL
5;0;1;2;1;Floor level;NORMAL
5;0;2;2.9;2;Floor level;NORMAL
5;0;2;2.9;2;Floor level;NORMAL
5;0;3;4.2;2.5;Floor level;NORMAL
5;0;2;2.9;1.5;Floor level;NORMAL
5;0;4;6;2;Floor level;NORMAL
