subject,block,condition,target_distance,type,percived_distance,rel_bias,abs_bias,perc_dist_sd,perc_dist_sem,perc_dist_var,perc_dist_n,perc_dist,rel_bias_signed_sd,rel_bias_signed_sem,rel_bias_signed_var,rel_bias_signed_n,rel_bias_signed,abs_bias_sd,abs_bias_sem,abs_bias_var,abs_bias_n
S001,0,Floor level,2.9,NORMAL,0.16,-0.9448275862068966,-2.7399999999999998,0.022360679774997904,0.010000000000000002,5.000000000000003e-4,5,0.16,0.0077105792327579106,0.003448275862068972,5.9453032104637574e-5,5,-0.9448275862068966,0.022360679774998015,0.010000000000000052,5.000000000000053e-4,5
S002,0,Floor level,2.9,NORMAL,0.95,-0.6724137931034483,-1.95,0.23452078799117146,0.09574271077563382,0.05499999999999999,6,0.95,0.080869237238335,0.03301472785366684,0.006539833531510109,6,-0.6724137931034483,0.23452078799117146,0.09574271077563382,0.05499999999999999,6
S003,0,Floor level,2.9,NORMAL,3.5,0.20689655172413796,0.6,2.3804761428476167,1.1902380714238083,5.666666666666667,4,3.5,0.820853842361247,0.4104269211806235,0.673801030519223,4,0.20689655172413796,2.3804761428476167,1.1902380714238083,5.666666666666666,4
S004,0,Floor level,2.9,NORMAL,1.56,-0.46206896551724136,-1.3399999999999999,0.1341640786499874,0.06,0.018000000000000006,5,1.56,0.04626347539654737,0.02068965517241379,0.0021403091557669436,5,-0.46206896551724136,0.1341640786499874,0.06,0.018000000000000006,5
S005,0,Floor level,2.9,NORMAL,1.9,-0.3448275862068965,-0.9999999999999999,0.4183300132670378,0.18708286933869706,0.175,5,1.9,0.14425172871277164,0.06451133425472312,0.020808561236623068,5,-0.3448275862068965,0.4183300132670378,0.18708286933869706,0.175,5
S006,0,Floor level,2.9,NORMAL,2,-0.31034482758620685,-0.8999999999999999,0.6324555320336759,0.25819888974716115,0.4,6,2,0.218088114494371,0.08903409991281419,0.04756242568370987,6,-0.31034482758620685,0.6324555320336759,0.25819888974716115,0.4,6
S007,0,Floor level,2.9,NORMAL,1.625,-0.43965517241379304,-1.275,0.47871355387816905,0.23935677693908453,0.22916666666666666,4,1.625,0.16507363926833418,0.08253681963416709,0.027249306381292117,4,-0.43965517241379304,0.47871355387816905,0.23935677693908453,0.22916666666666666,4
S008,0,Floor level,2.9,NORMAL,3,0.034482758620689696,0.10000000000000009,1,0.44721359549995793,1,5,3,0.3448275862068966,0.1542115846551579,0.11890606420927467,5,0.034482758620689696,1,0.44721359549995793,1,5
S009,0,Floor level,2.9,NORMAL,2.02,-0.3034482758620689,-0.8799999999999999,0.08366600265340762,0.037416573867739444,0.007000000000000012,5,2.02,0.02885034574255436,0.012902266850944638,8.323424494649245e-4,5,-0.3034482758620689,0.08366600265340762,0.037416573867739444,0.007000000000000012,5
S010,0,Floor level,2.9,NORMAL,2.6666666666666665,-0.08045977011494249,-0.23333333333333325,1.2110601416389966,0.4944132324730442,1.4666666666666666,6,2.6666666666666665,0.4176069453927575,0.17048732154242907,0.17439556084026953,6,-0.08045977011494249,1.2110601416389966,0.4944132324730442,1.4666666666666666,6
